FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,1108,DFW,"Dallas/Fort Worth, TX",TX,LGA,"New York, NY",NY,750,740,-10,1200,1150,-10,0,0,190,190,1389,,,,,
1/1/2015,AA,1108,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,1250,1254,4,1600,1555,-5,0,0,250,241,1389,,,,,
1/1/2015,AA,1109,DFW,"Dallas/Fort Worth, TX",TX,PHX,"Phoenix, AZ",AZ,2145,2156,11,2320,2331,11,0,0,155,155,868,,,,,
1/1/2015,AA,1110,DFW,"Dallas/Fort Worth, TX",TX,LGA,"New York, NY",NY,830,827,-3,1245,1232,-13,0,0,195,185,1389,,,,,
1/1/2015,AA,1110,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,1329,1323,-6,1639,1642,3,0,0,250,259,1389,,,,,
1/1/2015,AA,1111,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,730,729,-1,1040,1036,-4,0,0,250,247,1389,,,,,
1/1/2015,AA,1112,SFO,"San Francisco, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,30,19,-11,545,532,-13,0,0,195,193,1464,,,,,
1/1/2015,AA,1113,PIT,"Pittsburgh, PA",PA,DFW,"Dallas/Fort Worth, TX",TX,900,857,-3,1120,1114,-6,0,0,200,197,1067,,,,,
1/1/2015,AA,1114,DFW,"Dallas/Fort Worth, TX",TX,LGA,"New York, NY",NY,1000,,,1410,,,1,0,190,,1389,,,,,
1/1/2015,AA,1114,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,1455,1529,34,1810,1829,19,0,0,255,240,1389,19,0,0,0,0
1/1/2015,AA,1115,DFW,"Dallas/Fort Worth, TX",TX,MFE,"Mission/McAllen/Edinburg, TX",TX,1640,1656,16,1810,1833,23,0,0,90,97,469,0,0,7,0,16
1/1/2015,AA,1115,MFE,"Mission/McAllen/Edinburg, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,1850,1908,18,2025,2037,12,0,0,95,89,469,,,,,
1/1/2015,AA,1179,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,935,929,-6,1132,1120,-12,0,0,177,171,964,,,,,
1/1/2015,AA,1180,DFW,"Dallas/Fort Worth, TX",TX,SJU,"San Juan, PR",PR,1300,1648,228,1930,2316,226,0,0,270,268,2165,27,0,0,0,199
1/1/2015,AA,1180,SFO,"San Francisco, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,600,,,1130,,,1,0,210,,1464,,,,,
1/1/2015,AA,1181,DFW,"Dallas/Fort Worth, TX",TX,LAS,"Las Vegas, NV",NV,1350,1353,3,1445,1440,-5,0,0,175,167,1055,,,,,
1/1/2015,AA,1181,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,1535,1631,56,2015,2104,49,0,0,160,153,1055,49,0,0,0,0
1/1/2015,AA,1182,MIA,"Miami, FL",FL,ORD,"Chicago, IL",IL,1820,1838,18,2040,2105,25,0,0,200,207,1197,0,0,7,0,18
1/1/2015,AA,1183,BNA,"Nashville, TN",TN,DFW,"Dallas/Fort Worth, TX",TX,1120,1122,2,1325,1333,8,0,0,125,131,631,,,,,
1/1/2015,AA,1183,DFW,"Dallas/Fort Worth, TX",TX,BNA,"Nashville, TN",TN,900,907,7,1040,1049,9,0,0,100,102,631,,,,,
1/1/2015,AA,1184,ABQ,"Albuquerque, NM",NM,DFW,"Dallas/Fort Worth, TX",TX,725,739,14,1015,1032,17,0,0,110,113,569,14,0,3,0,0
1/1/2015,AA,1185,BOS,"Boston, MA",MA,MIA,"Miami, FL",FL,1355,1345,-10,1732,1706,-26,0,0,217,201,1258,,,,,
1/1/2015,AA,1185,MIA,"Miami, FL",FL,BOS,"Boston, MA",MA,935,935,0,1248,1239,-9,0,0,193,184,1258,,,,,
