FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,DL,748,ATL,"Atlanta, GA",GA,DTW,"Detroit, MI",MI,904,901,-3,1104,1055,-9,0,0,120,114,594,,,,,
1/1/2015,DL,749,MIA,"Miami, FL",FL,ATL,"Atlanta, GA",GA,900,1137,157,1055,1329,154,0,0,115,112,594,154,0,0,0,0
1/1/2015,DL,750,BOS,"Boston, MA",MA,JFK,"New York, NY",NY,600,556,-4,720,712,-8,0,0,80,76,187,,,,,
1/1/2015,DL,751,SLC,"Salt Lake City, UT",UT,LAX,"Los Angeles, CA",CA,1650,1647,-3,1745,1731,-14,0,0,115,104,590,,,,,
1/1/2015,DL,752,MSP,"Minneapolis, MN",MN,OMA,"Omaha, NE",NE,1610,1610,0,1721,1706,-15,0,0,71,56,282,,,,,
1/1/2015,DL,753,ATL,"Atlanta, GA",GA,SFO,"San Francisco, CA",CA,2144,2147,3,9,2353,-16,0,0,325,306,2139,,,,,
1/1/2015,DL,754,ATL,"Atlanta, GA",GA,PIT,"Pittsburgh, PA",PA,1500,1641,101,1647,1813,86,0,0,107,92,526,86,0,0,0,0
1/1/2015,DL,754,PIT,"Pittsburgh, PA",PA,ATL,"Atlanta, GA",GA,1730,1854,84,1923,2031,68,0,0,113,97,526,1,0,0,0,67
1/1/2015,DL,755,ATL,"Atlanta, GA",GA,CMH,"Columbus, OH",OH,1209,1207,-2,1342,1334,-8,0,0,93,87,447,,,,,
1/1/2015,DL,755,CMH,"Columbus, OH",OH,ATL,"Atlanta, GA",GA,1422,1419,-3,1600,1542,-18,0,0,98,83,447,,,,,
1/1/2015,DL,758,ATL,"Atlanta, GA",GA,JAX,"Jacksonville, FL",FL,1512,1631,79,1619,1728,69,0,0,67,57,270,69,0,0,0,0
1/1/2015,DL,758,JAX,"Jacksonville, FL",FL,ATL,"Atlanta, GA",GA,1700,1801,61,1820,1858,38,0,0,80,57,270,0,0,0,0,38
1/1/2015,DL,761,MEM,"Memphis, TN",TN,ATL,"Atlanta, GA",GA,900,855,-5,1117,1059,-18,0,0,77,64,332,,,,,
1/1/2015,DL,763,DTW,"Detroit, MI",MI,DFW,"Dallas/Fort Worth, TX",TX,1951,1949,-2,2155,2153,-2,0,0,184,184,986,,,,,
1/1/2015,DL,764,MSO,"Missoula, MT",MT,SLC,"Salt Lake City, UT",UT,1430,1424,-6,1602,1539,-23,0,0,92,75,436,,,,,
1/1/2015,DL,765,PIT,"Pittsburgh, PA",PA,MSP,"Minneapolis, MN",MN,645,642,-3,819,756,-23,0,0,154,134,726,,,,,
1/1/2015,DL,766,ATL,"Atlanta, GA",GA,MKE,"Milwaukee, WI",WI,1904,1906,2,2011,2014,3,0,0,127,128,669,,,,,
1/1/2015,DL,768,ATL,"Atlanta, GA",GA,PBI,"West Palm Beach/Palm Beach, FL",FL,1357,1400,3,1549,1541,-8,0,0,112,101,545,,,,,
1/1/2015,DL,768,PBI,"West Palm Beach/Palm Beach, FL",FL,ATL,"Atlanta, GA",GA,1630,1627,-3,1820,1820,0,0,0,110,113,545,,,,,
1/1/2015,DL,769,ATL,"Atlanta, GA",GA,MKE,"Milwaukee, WI",WI,1610,1608,-2,1717,1711,-6,0,0,127,123,669,,,,,
1/1/2015,DL,771,MKE,"Milwaukee, WI",WI,ATL,"Atlanta, GA",GA,1032,1146,74,1336,1432,56,0,0,124,106,669,56,0,0,0,0
1/1/2015,DL,772,ATL,"Atlanta, GA",GA,PVD,"Providence, RI",RI,2034,2031,-3,2252,2241,-11,0,0,138,130,903,,,,,
1/1/2015,DL,773,DTW,"Detroit, MI",MI,BUF,"Buffalo, NY",NY,1525,1520,-5,1631,1609,-22,0,0,66,49,241,,,,,
1/1/2015,DL,774,SAT,"San Antonio, TX",TX,ATL,"Atlanta, GA",GA,1145,1145,0,1455,1443,-12,0,0,130,118,874,,,,,
1/1/2015,DL,775,MSY,"New Orleans, LA",LA,ATL,"Atlanta, GA",GA,850,845,-5,1115,1055,-20,0,0,85,70,425,,,,,
1/1/2015,DL,776,ATL,"Atlanta, GA",GA,SRQ,"Sarasota/Bradenton, FL",FL,1942,1942,0,2118,2059,-19,0,0,96,77,444,,,,,
